pmid_reference;pmc_reference;evidence_code;disease_db;disease_name;disease_abbreviation;associated_gene_or_locus;disease_synonym;disease_id;disease_id_in_text;gene_id_in_text;hpo_name;hpo_id;hp_synonym;negation;not_abnormal;sentence;sentence_location;disease_location;gene_location;co_occurrence;comments
PMID:32502391;PMC7332666;PCS;OMIM;"OOCYTE MATURATION DEFECT 8; OOMD8";ZCF;BTG4;zygotic cleavage failure ;619009;no;605673;abnormal circulating estrogen level;HP:0025132;sex hormone levels; -;normal;These affected individuals had normal menstrual cycles and sex hormone levels ;body (Results);title, abstract, body (Introduction, Materials and Methods, Results, Discussion);title, abstract, body (Introduction, Materials and Methods, Results, Discussion);no;
PMID:32502391;PMC7332666;PCS;OMIM;"OOCYTE MATURATION DEFECT 8; OOMD8";ZCF;BTG4;zygotic cleavage failure ;619009;no;605673;abnormality of the menstrual cycle;HP:0000140;menstrual cycles; -;normal;These affected individuals had normal menstrual cycles and sex hormone levels ;body (Results);title, abstract, body (Introduction, Materials and Methods, Results, Discussion);title, abstract, body (Introduction, Materials and Methods, Results, Discussion);no;
PMID:14684683;PMC1735333;PCS;OMIM;"PALMOPLANTAR KERATODERMA, PUNCTATE TYPE IA; PPKP1A";PPK; -;type I punctate palmoplantar keratoderma ;148600;yes;no;abnormality of the nail;HP:0001597;nail abnormalities;no; -;Finally, there were no nail abnormalities ;body (RESULTS);abstract, body; -;no;
PMID:17710231;PMC1940239;PCS;OMIM;"TUMORAL CALCINOSIS, HYPERPHOSPHATEMIC, FAMILIAL, 3; HFTC3"; -;KL;tumoral calcinosis ;617994;no;no;kidney stones;HP:0000787;exact match;negative; -;She denied polyuria or polydipsia, and her past medical history was negative for fractures or kidney stones;body (Results);title, abstract, body (Introduction, Discussion, Methods);abstract, body (Introduction, Results, Methods);no;
PMID:17710231;PMC1940239;PCS;OMIM;"TUMORAL CALCINOSIS, HYPERPHOSPHATEMIC, FAMILIAL, 3; HFTC3"; -;KL;tumoral calcinosis ;617994;no;no;polydipsia;HP:0001959;exact match;negative; -;She denied polyuria or polydipsia, and her past medical history was negative for fractures or kidney stones;body (Results);title, abstract, body (Introduction, Discussion, Methods);abstract, body (Introduction, Results, Methods);no;
PMID:26996949;PMC4833217;PCS;OMIM;"TRICHOTHIODYSTROPHY 6, NONPHOTOSENSITIVE; TTD6";TTD ;GTF2E2;trichothiodystrophy ;616943;no;189964;cataracts;HP:0000518;exact match;no; -; -;Supplemental Data (Figure S1);title, abstract, body (Introduction);body (Introduction, Material and Methods, Results, Discussion);no;
PMID:26996949;PMC4833217;PCS;OMIM;"TRICHOTHIODYSTROPHY 6, NONPHOTOSENSITIVE; TTD6";TTD ;GTF2E2;trichothiodystrophy ;616943;no;189964;numerous pigmented freckles;HP:0007587;increased freckle-like pigmentation;no; -; -;body (Table 1);title, abstract, body (Introduction);body (Introduction, Material and Methods, Results, Discussion);no;gene name in Table 2
PMID:26996949;PMC4833217;PCS;OMIM;"TRICHOTHIODYSTROPHY 6, NONPHOTOSENSITIVE; TTD6";TTD ;GTF2E2;trichothiodystrophy ;616943;no;189964;osteosclerosis;HP:0011001;exact match;no; -;He had normal bone age and no evidence of osteosclerosis, osteopenia, or hip abnormality as seen in some individuals with TTD;body (Results);title, abstract, body (Introduction);body (Introduction, Material and Methods, Results, Discussion);yes (disease_abbreviation);
PMID:26996949;PMC4833217;PCS;OMIM;"TRICHOTHIODYSTROPHY 6, NONPHOTOSENSITIVE; TTD6";TTD ;GTF2E2;trichothiodystrophy ;616943;no;189964;recurrent infections;HP:0002719;exact match;no; -; -;body (Table 1);title, abstract, body (Introduction);body (Introduction, Material and Methods, Results, Discussion);no;gene_name can be found  in Table 1
PMID:26996949;PMC4833217;PCS;OMIM;"TRICHOTHIODYSTROPHY 6, NONPHOTOSENSITIVE; TTD6";TTD ;GTF2E2;trichothiodystrophy ;616943;no;189964;skin cancer;HP:0008069;exact match;no; -; -;body (Table 1);title, abstract, body (Introduction);body (Introduction, Material and Methods, Results, Discussion);no;gene name in Table 1
